ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageTherms
94132,10,2013,Gas- Commercial,Y,0,0,
94132,10,2013,Gas- Residential,N,"5,352","297,465",56
94133,10,2013,Gas- Commercial,N,543,"219,673",405
94133,10,2013,Gas- Residential,N,"7,426","278,710",38
94134,10,2013,Gas- Commercial,N,140,"40,013",286
94134,10,2013,Gas- Residential,N,"7,860","273,384",35
94158,10,2013,Gas- Commercial,Y,0,0,
94158,10,2013,Gas- Residential,Y,0,0,
94303,10,2013,Gas- Commercial,N,130,"34,802",268
94303,10,2013,Gas- Residential,N,"5,647","210,190",37
94305,10,2013,Gas- Commercial,Y,0,0,
94305,10,2013,Gas- Residential,Y,869,"88,352",102
94306,10,2013,Gas- Commercial,Y,0,0,
94306,10,2013,Gas- Residential,Y,0,0,
94401,10,2013,Gas- Commercial,N,638,"146,229",229
94401,10,2013,Gas- Residential,N,"8,748","300,630",34
94402,10,2013,Gas- Commercial,Y,0,0,
94402,10,2013,Gas- Residential,N,"8,567","375,152",44
94403,10,2013,Gas- Commercial,Y,744,"298,902",402
94403,10,2013,Gas- Residential,N,"12,710","437,111",34
94404,10,2013,Gas- Commercial,Y,315,"383,420","1,217"
94404,10,2013,Gas- Residential,N,"9,613","335,027",35
94501,10,2013,Gas- Commercial,N,628,"150,099",239
94501,10,2013,Gas- Residential,N,"19,097","594,624",31
94502,10,2013,Gas- Commercial,Y,0,0,
94502,10,2013,Gas- Residential,N,"4,989","126,379",25
94503,10,2013,Gas- Commercial,Y,0,0,
94503,10,2013,Gas- Residential,N,"5,156","155,828",30
94505,10,2013,Gas- Commercial,Y,0,0,
94505,10,2013,Gas- Residential,N,"4,352","87,856",20
94506,10,2013,Gas- Commercial,Y,146,"64,295",440
94506,10,2013,Gas- Residential,N,"7,924","300,877",38
94507,10,2013,Gas- Commercial,N,108,"17,114",158
94507,10,2013,Gas- Residential,N,"5,248","275,759",53
94508,10,2013,Gas- Commercial,Y,0,0,
94508,10,2013,Gas- Residential,N,752,"29,250",39
94509,10,2013,Gas- Commercial,Y,873,"105,793",121
94509,10,2013,Gas- Residential,N,"20,507","432,926",21
94510,10,2013,Gas- Commercial,Y,810,"111,533",138
94510,10,2013,Gas- Residential,N,"10,108","232,290",23
94512,10,2013,Gas- Residential,Y,0,0,
94513,10,2013,Gas- Commercial,Y,855,"99,512",116
94513,10,2013,Gas- Residential,N,"17,517","350,065",20
94514,10,2013,Gas- Commercial,Y,0,0,
94514,10,2013,Gas- Residential,N,"1,151","20,658",18
94515,10,2013,Gas- Commercial,N,155,"30,057",194
94515,10,2013,Gas- Residential,N,"1,624","49,599",31
94517,10,2013,Gas- Commercial,Y,0,0,
94517,10,2013,Gas- Residential,N,"4,017","104,519",26
94518,10,2013,Gas- Commercial,Y,663,"116,493",176
94518,10,2013,Gas- Residential,N,"9,187","229,047",25
94519,10,2013,Gas- Commercial,Y,0,0,
94519,10,2013,Gas- Residential,N,"6,480","162,379",25
94520,10,2013,Gas- Commercial,N,980,"202,926",207
94520,10,2013,Gas- Residential,N,"10,626","260,250",24
94521,10,2013,Gas- Commercial,N,265,"49,706",188
94521,10,2013,Gas- Residential,N,"15,085","337,642",22
94523,10,2013,Gas- Commercial,Y,0,0,
94523,10,2013,Gas- Residential,N,"11,706","303,122",26
94525,10,2013,Gas- Commercial,Y,0,0,
94525,10,2013,Gas- Residential,Y,"1,503","38,958",26
94526,10,2013,Gas- Commercial,Y,0,0,
94526,10,2013,Gas- Residential,N,"11,604","410,827",35
94528,10,2013,Gas- Commercial,Y,0,0,
94528,10,2013,Gas- Residential,N,361,"25,302",70
94530,10,2013,Gas- Commercial,Y,0,0,
94530,10,2013,Gas- Residential,N,"9,646","273,441",28
94531,10,2013,Gas- Commercial,Y,0,0,
94531,10,2013,Gas- Residential,N,"12,354","248,851",20
94533,10,2013,Gas- Commercial,Y,841,"278,849",332
94533,10,2013,Gas- Residential,Y,"21,708","517,961",24
94534,10,2013,Gas- Commercial,N,323,"102,950",319
94534,10,2013,Gas- Residential,N,"11,942","272,564",23
94535,10,2013,Gas- Commercial,Y,0,0,
94535,10,2013,Gas- Residential,Y,0,0,
94536,10,2013,Gas- Commercial,Y,0,0,
94536,10,2013,Gas- Residential,N,"20,903","572,607",27
94538,10,2013,Gas- Commercial,Y,"1,694","564,211",333
94538,10,2013,Gas- Residential,N,"15,307","433,880",28
94539,10,2013,Gas- Commercial,Y,0,0,
94539,10,2013,Gas- Residential,N,"15,229","399,675",26
94541,10,2013,Gas- Commercial,N,705,"116,672",165
94541,10,2013,Gas- Residential,N,"18,714","536,006",29
94542,10,2013,Gas- Commercial,Y,0,0,
94542,10,2013,Gas- Residential,N,"3,797","123,447",33
94544,10,2013,Gas- Commercial,Y,770,"173,997",226
94544,10,2013,Gas- Residential,N,"19,426","586,118",30
94545,10,2013,Gas- Commercial,N,"1,164","268,626",231
94545,10,2013,Gas- Residential,N,"8,599","229,947",27
94546,10,2013,Gas- Commercial,N,481,"77,735",162
94546,10,2013,Gas- Residential,N,"15,277","429,614",28
94547,10,2013,Gas- Commercial,Y,0,0,
94547,10,2013,Gas- Residential,N,"7,983","196,608",25
94548,10,2013,Gas- Residential,Y,0,0,
94549,10,2013,Gas- Commercial,Y,548,"128,872",235
94549,10,2013,Gas- Residential,N,"9,695","416,538",43
94550,10,2013,Gas- Commercial,N,653,"124,590",191
94550,10,2013,Gas- Residential,N,"15,869","406,445",26
94551,10,2013,Gas- Commercial,Y,"1,371","424,316",309
94551,10,2013,Gas- Residential,N,"11,892","258,554",22
94552,10,2013,Gas- Commercial,Y,0,0,
94552,10,2013,Gas- Residential,N,"4,601","121,680",26
94553,10,2013,Gas- Commercial,Y,"1,177","282,743",240
94553,10,2013,Gas- Residential,N,"17,178","392,072",23
94555,10,2013,Gas- Commercial,Y,0,0,
94555,10,2013,Gas- Residential,N,"10,934","270,649",25
94556,10,2013,Gas- Commercial,Y,0,0,
94556,10,2013,Gas- Residential,N,"5,451","224,308",41
94558,10,2013,Gas- Commercial,Y,901,"167,332",186
94558,10,2013,Gas- Residential,N,"20,087","663,101",33
94559,10,2013,Gas- Commercial,N,628,"76,578",122
94559,10,2013,Gas- Residential,N,"9,525","275,397",29
94560,10,2013,Gas- Commercial,Y,666,"243,436",366
