Source: EMFAC2021 (v1.0.1) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Air District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: Bay Area AQMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Bay Area AQMD,2018,LDT1,Aggregate,Aggregate,Electricity,503.4770021,15567.83675,0,15567.83675,2414.883882,0,0,0,0,0,0,0.002000001,0.001536334,0,0,0,0.008000002,0.004389525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2019,LDA,Aggregate,Aggregate,Gasoline,2343782.22,83322625.7,83322625.7,0,10909557.16,0.067818393,0,0.308550553,0.001405033,0,0.002312448,0.002000001,0.002572693,0.001528031,0,0.002514643,0.008000002,0.007350551,323.4293691,0,75.82121803,0.004505457,0,0.082838171,0.006169631,0,0.035080413,0.018801948,0,0.404976045,0.124162927,0.29040702,2.318584981,0.02741091,0,0.443393235,0.124162927,0.29040702,2.318584981,0.030576693,1.378235973,0,3.579208888,0.003200531,0,0.000750297
Bay Area AQMD,2019,LDA,Aggregate,Aggregate,Diesel,11733.4031,359735.0051,359735.0051,0,51426.99069,0.338693318,0,0,0.024448289,0,0,0.002000001,0.002598813,0.025553733,0,0,0.008000002,0.00742518,245.6983201,0,0,0.001814687,0,0,0.038675062,0,0,0.039069134,0,0,0,0,0,0.044477612,0,0,0,0,0,0.0031,0.398061276,0,0,0.002326023,0,0
Bay Area AQMD,2019,LDA,Aggregate,Aggregate,Electricity,101417.7461,3418212.506,0,3418212.506,515204.3126,0,0,0,0,0,0,0.002000001,0.001525778,0,0,0,0.008000002,0.004359367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2019,LDT1,Aggregate,Aggregate,Gasoline,249683.1246,7924400.62,7924400.62,0,1114494.288,0.180753023,0,0.464194342,0.002305719,0,0.003601129,0.002000001,0.003124527,0.00250717,0,0.003915423,0.008000002,0.00892722,376.5105218,0,92.88731509,0.010934028,0,0.123490714,0.012546479,0,0.041697471,0.049971507,0,0.66539444,0.239860499,0.661817619,4.646704973,0.072640874,0,0.728505402,0.239860499,0.661817619,4.646704973,0.035230102,2.711962794,0,6.07922426,0.003725802,0,0.000919177
Bay Area AQMD,2019,LDT1,Aggregate,Aggregate,Diesel,199.4314989,2703.837005,2703.837005,0,622.5025726,1.587888479,0,0,0.242864984,0,0,0.002000001,0.003724319,0.253846261,0,0,0.008000002,0.010640912,422.2096755,0,0,0.014376018,0,0,0.066459491,0,0,0.309507209,0,0,0,0,0,0.35235338,0,0,0,0,0,0.0031,1.732892673,0,0,0.003997054,0,0
Bay Area AQMD,2019,LDT1,Aggregate,Aggregate,Electricity,510.4195953,14241.33356,0,14241.33356,2443.814192,0,0,0,0,0,0,0.002000001,0.001537983,0,0,0,0.008000002,0.004394237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2020,LDA,Aggregate,Aggregate,Gasoline,2294770.782,71442984.55,71442984.55,0,10655996.78,0.059858354,0,0.292174388,0.001383067,0,0.002253597,0.002000001,0.00257761,0.001504161,0,0.002450738,0.008000002,0.0073646,320.1436374,0,74.72443592,0.003952274,0,0.077248211,0.005573916,0,0.033624634,0.016410542,0,0.376854705,0.119677891,0.283853522,2.25675163,0.023930001,0,0.412605275,0.119677891,0.283853522,2.25675163,0.03120005,1.277394214,0,3.351337776,0.003164946,0,0.000738727
Bay Area AQMD,2020,LDA,Aggregate,Aggregate,Diesel,11148.63102,294031.5219,294031.5219,0,48457.30004,0.312835405,0,0,0.023192609,0,0,0.002000001,0.002610811,0.024241276,0,0,0.008000002,0.00745946,244.2207901,0,0,0.001729127,0,0,0.038477085,0,0,0.037227093,0,0,0,0,0,0.04238057,0,0,0,0,0,0.0031,0.38764269,0,0,0.002314116,0,0
Bay Area AQMD,2020,LDA,Aggregate,Aggregate,Electricity,112892.9913,3895544.086,0,3895544.086,569011.6714,0,0,0,0,0,0,0.002000001,0.00152763,0,0,0,0.008000002,0.004364658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
